horse,horseLabel,mother,father,birthyear,genderLabel
Q11310101,Jalisco Light,missing,Q5434208,2003,male organism
Q11310148,Jungle Pocket,missing,Q7821904,1998,male organism
Q11310150,Jungle Rocket,missing,Q11310148,2005,female organism
Q11310214,ジャンボキング,missing,missing,1973,male organism
Q11310411,Jupiter Island,missing,Q7590888,1979,male organism
Q11310433,ジュリア,missing,missing,missing,female organism
Q11310487,ジユピターユートピア,missing,missing,1931,male organism
Q11310545,ジョイーレ,missing,Q11343365,2003,male organism
Q11310549,ジョウテンブレーヴ,missing,Q3013377,1997,male organism
Q11310678,Jolie's Shinju,missing,Q11310679,2005,female organism
Q11310679,Jolie's Halo,missing,Q5643313,1987,male organism
Q11310680,Jolly Dance,missing,Q5215257,2001,female organism
Q11310697,ジョワドヴィーヴル,Q11331056,Q730381,2009,female organism
Q11310831,Jo Cappuccino,missing,Q11341616,2006,male organism
Q11310853,ジョージモナーク,missing,Q11342941,1985,male organism
Q11310900,ジョービッグバン,missing,Q180387,1995,male organism
Q11311097,スイグン,missing,missing,2000,male organism
Q11311124,Suiten,missing,missing,1902,male organism
Q11311127,Swift Swallow,missing,Q1969034,1977,male organism
Q11311128,スイフトセイダイ,missing,missing,1986,male organism
Q11311170,Sweep Tosho,missing,Q11291418,2001,female organism
Q11311176,スウィフトカレント,missing,Q180387,2001,male organism
Q11311208,Swept Overboard,missing,Q11291418,1997,male organism
Q11311219,スウヰイスー,missing,Q11314399,1949,female organism
Q11311221,Suehiro Commander,Q11311223,Q5152210,1995,male organism
Q11311223,スエヒロジョウオー,missing,missing,1990,female organism
Q11311272,Sky Mesa,missing,Q7259595,2000,male organism
Q11311360,Scarlet Ink,missing,Q5185707,1971,female organism
Q11311361,Scarlet Bouquet,Q11311360,Q7059024,1988,female organism
Q11311362,スカーレットリボン,Q11311360,Q7059024,1985,female organism
Q11311363,Scarlet Lady,missing,Q180387,1995,female organism
Q11311371,スガノオージ,missing,Q11304517,1991,male organism
Q11311373,スガノホマレ,missing,Q7497845,1969,male organism
Q11311404,Scatter the Gold,Q5215199,Q1104649,1997,male organism
Q11311408,スキャパレリ,missing,Q1945364,2003,male organism
Q11311410,Scan,missing,Q1104649,1988,male organism
Q11311431,スキーキャプテン,missing,Q3499831,1992,male organism
Q11311439,スキーパラダイス,missing,Q3269685,1990,female organism
Q11311453,スギノハヤカゼ,missing,Q5275039,1993,male organism
Q11311496,スクラムダイナ,missing,Q11320008,1982,male organism
Q11311521,Screen Hero,missing,Q11300176,2004,male organism
Q11311529,Squirt,missing,Q4865372,1732,male organism
Q11311609,スゲヌマ,missing,missing,1935,male organism
Q11311674,スズカコーズウェイ,missing,Q3105301,2004,male organism
Q11311675,Suzukakoban,missing,Q11341313,1980,male organism
Q11311676,Suzuka Phoenix,Q11350924,Q180387,2002,male organism
Q11311677,Suzuka Mambo,missing,Q180387,2001,male organism
Q11311762,スズノキャスター,missing,missing,1988,female organism
Q11311764,スズパレード,missing,missing,1981,male organism
Q11311789,スタイルパッチ,missing,missing,1950,female organism
Q11311907,Stanerra,missing,missing,1978,female organism
Q11312001,Star Affair,missing,Q7600767,1962,male organism
Q11312008,Star King Man,missing,Q3197083,1999,male organism
Q11312079,スターバレリーナ,missing,Q7336008,1990,female organism
Q11312105,スターマン,missing,missing,1991,male organism
Q11312118,Sterling Rose,missing,Q11284680,1997,male organism
Q11312125,スターロツチ,missing,Q17224513,1957,female organism
Q11312169,スダホーク,missing,Q11308892,1982,male organism
Q11312212,スティンガー,missing,Q180387,1996,female organism
Q11312238,Steel Heart,missing,Q11326627,1972,male organism
Q11312249,Stay Gold,missing,Q180387,1994,male organism
Q11312260,ステキシンスケクン,missing,Q1104509,2003,male organism
Q11312361,ステージチャンプ,Q11316818,Q7301055,1990,male organism
Q11312364,ステーツマン,missing,Q4925007,1930,male organism
